1.102152, 0.265625, 0.000000, 0.000000, 0.000000,
1.096397, 0.348380, 0.000000, 0.000000, 0.000000,
1.092251, 0.440318, 0.000000, 0.000000, 0.000000,
1.082571, 0.408598, 0.000000, 0.000000, 0.000000,
1.078361, 0.404892, 0.000000, 0.000000, 0.000000,
1.059736, 0.405173, 0.000000, 0.000000, 0.000000,
1.064371, 0.404994, 0.000000, 0.000000, 0.000000,
1.064772, 0.404867, 0.093010, 0.678050, 0.160301,
1.043898, 0.405148, 0.239954, 0.573738, 0.335167,
1.056009, 0.405046, 0.245182, 0.569414, 0.339662,
1.143693, 0.404458, 0.181393, 0.624590, 0.277559,
1.065001, 0.406145, 0.077782, 0.686871, 0.136824,
1.039897, 0.425672, 0.022298, 0.457678, 0.042053,
1.050156, 0.460919, 0.004860, 0.141066, 0.009369,
1.043417, 0.493738, 0.004828, 0.140574, 0.009308,
1.039365, 0.504984, 0.004822, 0.140164, 0.009295,
1.066053, 0.508026, 0.004848, 0.140847, 0.009345,
1.044230, 0.509278, 0.020415, 0.444658, 0.038659,
1.036418, 0.510607, 0.023367, 0.469030, 0.044005,
1.022468, 0.510914, 0.047266, 0.636298, 0.086406,
1.027748, 0.510710, 0.073920, 0.702443, 0.130982,
1.064467, 0.509610, 0.104114, 0.696684, 0.177544,
1.011499, 0.508179, 0.138265, 0.670678, 0.225419,
1.007495, 0.503348, 0.196543, 0.628329, 0.295758,
1.010547, 0.506799, 0.208230, 0.609878, 0.306771,
1.041334, 0.506364, 0.215703, 0.607438, 0.314748,
1.073018, 0.510122, 0.182860, 0.649244, 0.281619,
0.943464, 0.492945, 0.170929, 0.690930, 0.270163,
1.056556, 0.475897, 0.229776, 0.614248, 0.330995,
1.018944, 0.476792, 0.216554, 0.640012, 0.320015,
1.006912, 0.485559, 0.188033, 0.702727, 0.292519,
1.012556, 0.498722, 0.159133, 0.700893, 0.255526,
1.004236, 0.511144, 0.171525, 0.677130, 0.269802,
0.955470, 0.518991, 0.199105, 0.643480, 0.300444,
0.978105, 0.517636, 0.233128, 0.610748, 0.333891,
0.969313, 0.518045, 0.245528, 0.602394, 0.345454,
1.021788, 0.520678, 0.238471, 0.612058, 0.339679,
1.048089, 0.525509, 0.222299, 0.631569, 0.325131,
0.987430, 0.526710, 0.195456, 0.670559, 0.298824,
1.026586, 0.523464, 0.178915, 0.698427, 0.280877,
0.949589, 0.518096, 0.166524, 0.718157, 0.266272,
1.044625, 0.511783, 0.166132, 0.729929, 0.266492,
0.997274, 0.513214, 0.170608, 0.736954, 0.272864,
0.937772, 0.519988, 0.181642, 0.733636, 0.286791,
0.949651, 0.530978, 0.205912, 0.722793, 0.316293,
0.998447, 0.540231, 0.240195, 0.704521, 0.354297,
0.968516, 0.541816, 0.267658, 0.693369, 0.382424,
0.989595, 0.542889, 0.297563, 0.687310, 0.411973,
0.936605, 0.544857, 0.320283, 0.676038, 0.431548,
0.900217, 0.541279, 0.346064, 0.664040, 0.452246,
0.897929, 0.540742, 0.375534, 0.642394, 0.471605,
0.999534, 0.541177, 0.405382, 0.618959, 0.487959,
0.943877, 0.543809, 0.419079, 0.609436, 0.494857,
0.866997, 0.546340, 0.425982, 0.608965, 0.499551,
0.879791, 0.551171, 0.435844, 0.612461, 0.507609,
0.833087, 0.554647, 0.442474, 0.621494, 0.515344,
0.860736, 0.558379, 0.449121, 0.628405, 0.522213,
0.933478, 0.563184, 0.456505, 0.635005, 0.529568,
0.921737, 0.566430, 0.452086, 0.641670, 0.528719,
0.971787, 0.570596, 0.443685, 0.651133, 0.525919,
0.897492, 0.577012, 0.426612, 0.673635, 0.520071,
0.967038, 0.583759, 0.413952, 0.696267, 0.516677,
0.834447, 0.591811, 0.397444, 0.718221, 0.509081,
0.829664, 0.599070, 0.397220, 0.729054, 0.511390,
0.864792, 0.602852, 0.404539, 0.730056, 0.517611,
0.884799, 0.605817, 0.414682, 0.729837, 0.525980,
0.901877, 0.611083, 0.419876, 0.735832, 0.531800,
0.887569, 0.618930, 0.422975, 0.746197, 0.536995,
0.848794, 0.625652, 0.428946, 0.754958, 0.544205,
0.783489, 0.629562, 0.437111, 0.760120, 0.552226,
0.872050, 0.632118, 0.452928, 0.756632, 0.563947,
0.800424, 0.634674, 0.466449, 0.755973, 0.574264,
0.819882, 0.637000, 0.474485, 0.753798, 0.579787,
0.878984, 0.636719, 0.482042, 0.747832, 0.583755,
0.829864, 0.642291, 0.493820, 0.751447, 0.593640,
0.870106, 0.648834, 0.516393, 0.751308, 0.609938,
0.805234, 0.650547, 0.535794, 0.742344, 0.620465,
0.862630, 0.650266, 0.544906, 0.734735, 0.624032,
0.734250, 0.657883, 0.547859, 0.745146, 0.629619,
0.750804, 0.662202, 0.552405, 0.751143, 0.634845,
0.769923, 0.665423, 0.558220, 0.754594, 0.639964,
